,Pais_x,Poblacion,total_gdp_million,ECI,año_x,Ecuador
0,Algeria,42705368.0,171767.4037,-1.0424591668,2019,0
1,Algeria,43451666.0,145009.1815,-1.2063896651,2020,0
2,Algeria,30774621.0,54790.39275,-1.0648020362,2000,0
3,Algeria,31200985.0,54744.71281,-0.8040640985,2001,0
4,Algeria,31624696.0,56760.35587,-0.9940741202,2002,0
5,Algeria,32055883.0,67863.82841,-0.9145421601,2003,0
6,Algeria,32510186.0,85332.58119,-1.0717649983,2004,0
7,Algeria,32956690.0,103198.2237,-0.9873999508,2005,0
8,Algeria,33435080.0,117027.3075,-1.011425404,2006,0
9,Algeria,33983827.0,134977.0826,-0.8761841125,2007,0
10,Algeria,39543154.0,165979.2793,-1.0489170453,2015,0
11,Algeria,35196037.0,137211.0358,-0.9742505897,2009,0
12,Algeria,34569592.0,171000.6999,-1.0507134248,2008,0
13,Algeria,41136546.0,170097.0146,-1.0347035957,2017,0
14,Algeria,40339329.0,160034.1639,-0.9964345611,2016,0
15,Algeria,38760168.0,213810.0249,-1.2218008192,2014,0
16,Algeria,41927007.0,174910.8786,-1.04892317,2018,0
17,Algeria,37260563.0,209058.992,-1.2270338067,2012,0
18,Algeria,36543541.0,200013.0522,-0.7314400407,2011,0
19,Algeria,35856344.0,161207.2702,-0.8580110985,2010,0
20,Algeria,38000626.0,209755.0033,-1.125058021,2013,0
21,Angola,20162340.0,52381.00689,-1.7120831222,2006,1
22,Angola,19450959.0,36970.9187,-1.5902183273,2005,1
23,Angola,18771125.0,23552.04725,-1.9428819764,2004,1
24,Angola,17516139.0,15285.59483,-2.3107294171,2002,1
25,Angola,32353588.0,69309.11015,-1.5935179322,2019,1
26,Angola,16394062.0,9129.594819,-2.1815987847,2000,1
27,Angola,33428486.0,53619.07351,-1.4236978391,2020,1
28,Angola,20909684.0,65266.45208,-1.7323747006,2007,1
29,Angola,16941587.0,8936.063723,-2.3184563068,2001,1
30,Angola,21691522.0,88538.61081,-1.9616512756,2008,1
31,Angola,18124342.0,17812.70483,-1.9947772413,2003,1
32,Angola,23364185.0,81699.52688,-1.738416327,2010,1
33,Angola,22507674.0,70307.16693,-1.8195824743,2009,1
34,Angola,31273533.0,77792.94447,-1.5133778973,2018,1
35,Angola,30208628.0,68972.7694,-1.5339774607,2017,1
36,Angola,28127721.0,87219.30038,-1.5254723053,2015,1
37,Angola,27128337.0,137244.4391,-1.5250306541,2014,1
38,Angola,29154746.0,49840.49118,-1.5270010826,2016,1
