1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,Country ID
,,,,,,,,,,,,,,,,,,,,,-1.112906209,-1.185703325,-1.203486987,Afganistán,asafg
,,,,,,,,,,-0.031906736,0.340078601,0.248110407,-0.017323214,-0.598967174,-0.567793397,-0.503787703,-0.620994808,-0.666860093,-0.547083644,-0.456227078,-0.354051154,-0.337132134,-0.192163547,Albania,eualb
1.749409361,1.69638611,1.747584127,1.831887641,1.892757129,1.927863179,1.978391808,1.953376406,1.886219764,1.815796224,1.851269244,1.883222806,1.853938741,1.8996396,1.91276865,1.899078066,1.833499401,1.885158037,1.915196974,1.906271371,1.885745075,1.889073886,1.884883566,1.807231608,Alemania,eudeu
-1.060976879,-2.169690577,-2.181598785,-2.318456307,-2.310729417,-1.994777241,-1.942881976,-1.590218327,-1.712083122,-1.732374701,-1.961651276,-1.819582474,-1.738416327,-1.747615728,-1.710403452,-1.544626377,-1.525030654,-1.525472305,-1.527001083,-1.533977461,-1.513377897,-1.593517932,-1.423697839,-1.431039191,Angola,afago
0.287563064,0.105276579,0.025557855,0.212626724,0.18021957,0.168863728,0.192363322,0.28418088,0.232403344,0.355588836,0.20042688,0.209312479,0.452936351,0.509373844,0.628706979,0.806421408,0.789228864,0.834375205,0.759029304,0.74119478,0.768618368,0.867186033,0.877845742,0.899810619,Arabia Saudita,assau
-0.994313899,-0.90091113,-1.064802036,-0.804064099,-0.99407412,-0.91454216,-1.071764998,-0.987399951,-1.011425404,-0.876184113,-1.050713425,-0.97425059,-0.858011099,-0.731440041,-1.227033807,-1.125058021,-1.221800819,-1.048917045,-0.996434561,-1.034703596,-1.04892317,-1.042459167,-1.206389665,-0.877724021,Argelia,afdza
0.333987847,0.312226077,0.348330133,0.413292582,0.376434186,0.286996698,0.285798485,0.265321803,0.278136641,0.329037002,0.324837774,0.33625552,0.33068796,0.294907907,0.347407726,0.423977335,0.435378084,0.399135782,0.27692369,0.222105645,0.143736482,0.142198897,0.067971662,0.074316851,Argentina,saarg
,,,,,,,,,,,,,,,0.118526766,0.106474365,0.036587552,0.007825436,-0.158781646,-0.33314444,-0.343023172,-0.338571038,-0.190567499,Armenia,asarm
0.642443269,0.550697385,0.53112031,0.477168353,0.407353072,0.305019507,0.186525794,0.16953527,0.119020887,0.154141928,0.106215977,0.034385744,-0.092226047,-0.199491194,-0.060396059,-0.018582568,-0.056347215,-0.055364998,-0.032233922,-0.150597726,-0.19295662,-0.266185579,-0.320462946,-0.405519767,Australia,ocaus
1.415605168,1.440558085,1.462891111,1.52208617,1.557039272,1.543852416,1.576170157,1.545568031,1.561639076,1.539191308,1.52686392,1.540591404,1.520039808,1.553369868,1.557414615,1.554993923,1.523508194,1.539520367,1.546923914,1.552513188,1.518016079,1.553620844,1.540138145,1.497664285,Austria,euaut
,,,0.105137229,-0.022327274,-0.142255068,-0.272923296,-0.154423896,-0.338836548,-0.248609537,-0.541635312,-0.814083611,-0.617753069,-0.431106515,-0.336180265,-0.432387257,-0.504950094,-0.580013079,-0.523021655,-0.436572664,-0.61419442,-0.515676756,-0.537155574,-0.518772714,Azerbaiyán,asaze
-1.828362242,-1.578523031,-1.424107026,-1.528634965,-1.583960045,-1.58609485,-1.532234014,-1.417052879,-1.320153554,-1.131659744,-1.053846076,-1.118540554,-1.225945612,-1.302313694,-1.321357844,-1.291331142,-1.163745471,-1.345053332,-1.43279138,-1.314373634,-1.214724152,-1.087152519,-1.140355376,-0.845227249,Bangladesh,asbgd
,1.158022854,1.213470483,1.275307357,1.334751,1.356500714,1.343101514,1.340878659,1.279888582,1.271958551,1.273655398,1.25542409,1.304277492,1.402775301,1.418923594,1.416231307,1.351638236,1.391025555,1.388659865,1.366778997,1.331892824,1.298083242,1.341554324,1.282530457,Bélgica,eubel
,,,,,,,,,,,,,,,,,,,,,,,-0.60970478,Benin,afben
